Species	Term Accession	Term	Object	RGD ID	Symbol	Name	Type	Qualifiers	Evidence	Chr	Start	Stop	Reference(s)	Source(s)	Original Reference(s)	Notes
Human	GO:0043086	negative regulation of catalytic activity	gene	1602218	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	protein-coding	involved_in	IEA	 1	20,482,391	20,486,210	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	732268	CAMK2N2	calcium/calmodulin dependent protein kinase II inhibitor 2	protein-coding	acts_upstream_of_or_within	ISO	 3	184,259,213	184,261,553	GOC	GOC	PMID:23051746 	  (MGI:5444772|PMID:23051746)
Human	GO:0043086	negative regulation of catalytic activity	gene	733696	CAND1	cullin associated and neddylation dissociated 1	protein-coding	involved_in	IDA	12	67,269,358	67,319,953	UniProt, UniProt	UniProt	PMID:12609982 	  (PMID:12609982)
Human	GO:0043086	negative regulation of catalytic activity	gene	737362	CAST	calpastatin	protein-coding		ISO	 5	96,662,037	96,774,683	RGD	RGD	PMID:17429681 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1605357	CCAR2	cell cycle and apoptosis regulator 2	protein-coding	involved_in	IEA	 8	22,604,757	22,621,514	UniProt, UniProt, Ensembl	UniProt,Ensembl	PMID:21030595 	  (PMID:21030595)
Human	GO:0043086	negative regulation of catalytic activity	gene	1346360	CDC42SE1	CDC42 small effector 1	protein-coding	involved_in	IEA	 1	151,050,985	151,059,622	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	69115	CDKN1B	cyclin dependent kinase inhibitor 1B	protein-coding	involved_in	IEA	12	12,717,368	12,722,369	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1322980	CDKN1C	cyclin dependent kinase inhibitor 1C	protein-coding	involved_in	IEA	11	2,883,218	2,885,775	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	732228	CIB1	calcium and integrin binding 1	protein-coding	involved_in	IEA	15	90,229,975	90,265,759	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	731048	CIT	citron rho-interacting serine/threonine kinase	protein-coding	involved_in	IEA	12	119,685,791	119,877,320	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1345435	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin	protein-coding	involved_in,acts_upstream_of_or_within	ISO	16	28,466,653	28,492,082	UniProt, Ensembl, UniProt, MGI	UniProt,Ensembl,MGI	PMID:17868323 	  (MGI:3767897|PMID:17868323)
Human	GO:0043086	negative regulation of catalytic activity	gene	1318641	CRIM1	cysteine rich transmembrane BMP regulator 1	protein-coding	involved_in	IEA	 2	36,355,778	36,551,135	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1352279	DGKH	diacylglycerol kinase eta	protein-coding	involved_in	IMP	13	42,040,070	42,256,584	UniProt, UniProt	UniProt	PMID:12810723 	  (PMID:12810723)
Human	GO:0043086	negative regulation of catalytic activity	gene	1343674	DGKI	diacylglycerol kinase iota	protein-coding	involved_in	IEA	 7	137,381,037	137,846,974	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1347817	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	protein-coding	involved_in	IEA	13	95,677,139	95,794,988	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1603040	DUS2	dihydrouridine synthase 2	protein-coding	involved_in	IEA	16	68,023,284	68,079,320	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	731010	DYNLL1	dynein light chain LC8-type 1	protein-coding	involved_in	IEA	12	120,469,842	120,498,493	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1642766	ELFN1	extracellular leucine rich repeat and fibronectin type III domain containing 1	protein-coding	involved_in	IEA	 7	1,666,064	1,747,946	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1606182	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	protein-coding	involved_in	IEA	22	37,340,644	37,427,479	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	736594	ENSA	endosulfine alpha	protein-coding	involved_in	IEA	 1	150,621,246	150,629,612	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1315316	EPPIN	epididymal peptidase inhibitor	protein-coding	involved_in	IEA	20	45,540,626	45,547,401	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	5013870	EPPIN-WFDC6	EPPIN-WFDC6 readthrough	protein-coding	involved_in	IEA	20	45,536,280	45,547,401	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1604379	FAF2	Fas associated factor family member 2	protein-coding	involved_in	IEA	 5	176,448,385	176,510,074	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1604509	FLCN	folliculin	protein-coding	involved_in	IEA	17	17,212,212	17,237,330	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1349911	FRY	FRY microtubule binding protein	protein-coding	involved_in	IEA	13	32,031,774	32,299,125	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	735553	GMFB	glia maturation factor beta	protein-coding	involved_in	IEA	14	54,474,485	54,488,980	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	736890	GMFG	glia maturation factor gamma	protein-coding	involved_in	IEA	19	39,328,359	39,336,043	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	732073	GPS1	G protein pathway suppressor 1	protein-coding	involved_in	IEA	17	82,050,932	82,057,470	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1317604	GPS2	G protein pathway suppressor 2	protein-coding	involved_in	IEA	17	7,312,661	7,315,360	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1603058	GRM7	glutamate metabotropic receptor 7	protein-coding	involved_in	IEA	 3	6,861,115	7,741,533	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	736504	HNRNPR	heterogeneous nuclear ribonucleoprotein R	protein-coding		ISO	 1	23,304,688	23,344,284	RGD	RGD	PMID:15798208 	arylalkylamine N-acetyltransferase activity
Human	GO:0043086	negative regulation of catalytic activity	gene	734029	HSPBP1	HSPA (Hsp70) binding protein 1	protein-coding	involved_in	IEA	19	55,262,223	55,280,383	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	737457	IL7	interleukin 7	protein-coding	involved_in,acts_upstream_of_or_within	ISO	 8	78,675,044	78,805,463	Ensembl, Ensembl, MGI	Ensembl,MGI	PMID:8950980 	  (MGI:84869|PMID:8950980)
Human	GO:0043086	negative regulation of catalytic activity	gene	1602805	INKA1	inka box actin regulator 1	protein-coding	involved_in	IEA	 3	49,803,261	49,805,030	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1603392	INKA2	inka box actin regulator 2	protein-coding	involved_in	IEA	 1	111,722,064	111,755,797	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1323573	IQGAP1	IQ motif containing GTPase activating protein 1	protein-coding	involved_in	IEA	15	90,388,242	90,502,239	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1350713	IQGAP2	IQ motif containing GTPase activating protein 2	protein-coding	involved_in	IEA	 5	76,403,285	76,708,132	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1344498	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein	protein-coding	involved_in,acts_upstream_of_or_within	IEA	10	104,309,700	104,338,465	GOC, GOC, GOC	GOC	PMID:20053891 	  (MGI:4431305|PMID:20053891)
Human	GO:0043086	negative regulation of catalytic activity	gene	1313452	KDM5A	lysine demethylase 5A	protein-coding	involved_in	IEA	12	280,057	389,320	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	733238	LIMK2	LIM domain kinase 2	protein-coding	involved_in	IEA	22	31,212,298	31,280,080	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1315801	LMTK2	lemur tyrosine kinase 2	protein-coding	involved_in	IEA	 7	98,106,862	98,209,638	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1602639	LRRC43	leucine rich repeat containing 43	protein-coding	involved_in	IEA	12	122,167,719	122,203,471	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1602198	LRRC46	leucine rich repeat containing 46	protein-coding	involved_in	IEA	17	47,831,670	47,837,719	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1314857	MBIP	MAP3K12 binding inhibitory protein 1	protein-coding	involved_in	IEA	14	36,298,564	36,320,637	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	7245912	MRLN	myoregulin	protein-coding	involved_in	IEA	10	59,736,692	59,753,455	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1312564	MRTFA	myocardin related transcription factor A	protein-coding	involved_in	IEA	22	40,410,289	40,636,719	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1345947	MRTFB	myocardin related transcription factor B	protein-coding	involved_in	IEA	16	13,994,774	14,266,779	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1351397	MYOZ1	myozenin 1	protein-coding	involved_in	IEA	10	73,631,612	73,641,474	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1321736	NCK1	NCK adaptor protein 1	protein-coding	involved_in	IEA	 3	136,862,208	136,951,606	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	737242	NES	nestin	protein-coding	involved_in	IDA	 1	156,668,763	156,677,407	UniProt, UniProt	UniProt	PMID:21185309 	  (PMID:21185309)
Human	GO:0043086	negative regulation of catalytic activity	gene	1320636	NOSIP	nitric oxide synthase interacting protein	protein-coding	involved_in	IDA	19	49,555,468	49,580,556	UniProt, UniProt	UniProt	PMID:11149895 	  (PMID:11149895)
Human	GO:0043086	negative regulation of catalytic activity	gene	737367	NOTCH1	notch receptor 1	protein-coding	involved_in	IEA	 9	136,494,433	136,546,048	UniProt, UniProt, Ensembl	UniProt,Ensembl	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	735868	NQO1	NAD(P)H quinone dehydrogenase 1	protein-coding	involved_in,acts_upstream_of_or_within	ISO	16	69,709,401	69,726,560	Ensembl, Ensembl, MGI	Ensembl,MGI	PMID:10903442 	  (MGI:1861317|PMID:10903442)
Human	GO:0043086	negative regulation of catalytic activity	gene	733111	OAZ1	ornithine decarboxylase antizyme 1	protein-coding	involved_in	IEA	19	2,269,486	2,273,488	InterPro, InterPro	InterPro	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1344023	OAZ2	ornithine decarboxylase antizyme 2	protein-coding	involved_in	IEA	15	64,687,574	64,703,281	InterPro, InterPro	InterPro	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1347463	OAZ3	ornithine decarboxylase antizyme 3	protein-coding	involved_in	IEA	 1	151,762,969	151,771,330	InterPro, InterPro	InterPro	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1321149	PABIR1	PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1	protein-coding	involved_in	IEA	 9	68,780,065	68,785,566	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1605855	PABIR2	PABIR family member 2	protein-coding	involved_in	IEA	  X	134,769,566	134,797,205	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1605854	PABIR3	PABIR family member 3	protein-coding	involved_in	IEA	  X	134,796,364	134,864,771	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1347584	PARP9	poly(ADP-ribose) polymerase family member 9	protein-coding	involved_in	IDA	 3	122,527,924	122,564,784	UniProt, UniProt	UniProt	PMID:27796300 	  (PMID:27796300)
Human	GO:0043086	negative regulation of catalytic activity	gene	1352322	PARVA	parvin alpha	protein-coding	involved_in	IEA	11	12,376,436	12,535,356	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	737392	PDC	phosducin	protein-coding	involved_in	IEA	 1	186,443,566	186,461,114	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1314689	PDE6D	phosphodiesterase 6D	protein-coding	involved_in	IEA	 2	231,732,433	231,781,282	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	735391	PDE6G	phosphodiesterase 6G	protein-coding	involved_in	IEA	17	81,650,459	81,663,127	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1353241	PDE6H	phosphodiesterase 6H	protein-coding	involved_in	IEA	12	14,973,042	14,981,865	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1353173	PHACTR1	phosphatase and actin regulator 1	protein-coding	involved_in	IEA	 6	12,716,767	13,287,837	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1344472	PHACTR2	phosphatase and actin regulator 2	protein-coding	involved_in	IEA	 6	143,536,878	143,831,185	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1605886	PHACTR3	phosphatase and actin regulator 3	protein-coding	involved_in	IEA	20	59,577,509	59,847,711	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	6771275	PINLYP	phospholipase A2 inhibitor and LY6/PLAUR domain containing	protein-coding	involved_in	IEA	19	43,575,509	43,582,098	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	731267	PKIA	cAMP-dependent protein kinase inhibitor alpha	protein-coding	acts_upstream_of_or_within,involved_in	IEA	 8	78,516,340	78,605,267	MGI, Ensembl	MGI,Ensembl	PMID:7836431 	  (MGI:70975|PMID:7836431)
Human	GO:0043086	negative regulation of catalytic activity	gene	1349244	PLN	phospholamban	protein-coding	involved_in	ISS	 6	118,548,296	118,561,716	BHF-UCL, BHF-UCL	BHF-UCL	PMID:12032137 	  (PMID:12032137)
Human	GO:0043086	negative regulation of catalytic activity	gene	1605082	PPME1	protein phosphatase methylesterase 1	protein-coding	involved_in	IEA	11	74,171,289	74,254,703	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	732967	PPP1R10	protein phosphatase 1 regulatory subunit 10	protein-coding	involved_in	IEA	 6	30,600,413	30,617,243	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1350163	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	protein-coding	involved_in	IDA	12	79,773,563	79,935,460	UniProt, UniProt	UniProt	PMID:19245366 	  (PMID:19245366)
Human	GO:0043086	negative regulation of catalytic activity	gene	1319551	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	protein-coding	involved_in	IEA	 1	202,348,699	202,592,702	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1343542	PPP1R12C	protein phosphatase 1 regulatory subunit 12C	protein-coding	involved_in	IEA	19	55,090,918	55,117,637	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	733523	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	protein-coding	involved_in	IEA	19	38,251,237	38,256,374	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1344402	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B	protein-coding	involved_in	IEA	11	64,244,479	64,246,943	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	735966	PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C	protein-coding	involved_in	IEA	 6	150,143,044	150,250,392	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1350290	PPP1R14D	protein phosphatase 1 regulatory inhibitor subunit 14D	protein-coding	involved_in	IEA	15	40,815,451	40,828,708	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1344493	PPP1R17	protein phosphatase 1 regulatory subunit 17	protein-coding	involved_in,acts_upstream_of_or_within	IEA	 7	31,687,215	31,708,455	GOC, GOC, GOC	GOC	PMID:9920894 	  (MGI:1329721|PMID:9920894)
Human	GO:0043086	negative regulation of catalytic activity	gene	737038	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A	protein-coding	involved_in	IEA	12	54,579,246	54,588,659	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1347073	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B	protein-coding	involved_in	IEA	17	39,626,707	39,636,624	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1351328	PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C	protein-coding	involved_in	IEA	 2	181,954,480	182,131,385	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1343622	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	protein-coding	involved_in	IEA	 3	195,514,428	195,543,325	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1346366	PPP1R27	protein phosphatase 1 regulatory subunit 27	protein-coding	involved_in	IEA	17	81,833,492	81,835,050	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1344126	PPP1R2B	PPP1R2 family member B	protein-coding	involved_in	IEA	 5	156,850,295	156,852,528	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1345869	PPP1R2C	PPP1R2C family member C	protein-coding	involved_in	IEA	  X	42,777,366	42,778,163	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1353440	PPP1R2P1	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 1	pseudo	involved_in	IEA	 6	32,876,478	32,880,074	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	2293904	PPP1R37	protein phosphatase 1 regulatory subunit 37	protein-coding	involved_in	IEA	19	45,093,179	45,147,285	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1606658	PPP1R42	protein phosphatase 1 regulatory subunit 42	protein-coding	involved_in	IEA	 8	66,964,103	67,028,554	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1317789	PPP1R7	protein phosphatase 1 regulatory subunit 7	protein-coding	involved_in	IEA	 2	241,149,573	241,183,652	GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1314810	PPP1R8	protein phosphatase 1 regulatory subunit 8	protein-coding	involved_in	IEA	 1	27,830,782	27,851,676	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	737306	PRNP	prion protein	protein-coding	involved_in	IEA	20	4,686,456	4,701,588	Ensembl	Ensembl	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	733778	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1	protein-coding	involved_in	IEA	17	76,309,478	76,354,198	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	732905	PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2	protein-coding	involved_in	IEA	17	18,856,299	18,931,287	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	736479	PTN	pleiotrophin	protein-coding	involved_in	IEA	 7	137,227,341	137,343,733	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	732186	RENBP	renin binding protein	protein-coding	involved_in	IEA	  X	153,935,269	153,944,643	RGD, Ensembl	RGD,Ensembl	PMID:11726282 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1316925	RHOH	ras homolog family member H	protein-coding	involved_in	IEA	 4	40,191,080	40,246,967	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	735371	RNH1	ribonuclease/angiogenin inhibitor 1	protein-coding	involved_in	IEA	11	494,515	507,242	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1603019	RPTOR	regulatory associated protein of MTOR complex 1	protein-coding	involved_in	IEA	17	80,544,838	80,966,368	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1354382	RTKN	rhotekin	protein-coding	involved_in	IEA	 2	74,425,835	74,441,937	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	736449	SAG	S-antigen visual arrestin	protein-coding	involved_in	IEA	 2	233,307,816	233,347,055	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	731406	SCG5	secretogranin V	protein-coding	involved_in	IEA	15	32,641,710	32,697,092	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	735247	SCGB1A1	secretoglobin family 1A member 1	protein-coding	involved_in	IEA	11	62,419,033	62,423,195	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1346118	SERPINB3	serpin family B member 3	protein-coding	involved_in	IDA	18	63,655,197	63,661,893	UniProt, UniProt	UniProt	PMID:10956412 	  (PMID:10956412)
Human	GO:0043086	negative regulation of catalytic activity	gene	1316679	SET	SET nuclear proto-oncogene	protein-coding	involved_in	IEA	 9	128,683,424	128,696,396	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1318168	SH3RF2	SH3 domain containing ring finger 2	protein-coding	involved_in	IEA	 5	145,936,578	146,081,773	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	733021	SLIT2	slit guidance ligand 2	protein-coding	involved_in	IEA	 4	20,251,905	20,620,561	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1313124	SLN	sarcolipin	protein-coding	involved_in	ISS	11	107,707,378	107,712,056	BHF-UCL, BHF-UCL	BHF-UCL	PMID:12032137 	  (PMID:12032137)
Human	GO:0043086	negative regulation of catalytic activity	gene	733869	SNCB	synuclein beta	protein-coding	involved_in	IEA	 5	176,620,082	176,630,534	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1347441	SOCS1	suppressor of cytokine signaling 1	protein-coding	involved_in	IEA	16	11,254,417	11,256,204	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	730833	SOCS3	suppressor of cytokine signaling 3	protein-coding	involved_in	IEA	17	78,356,778	78,360,925	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1319580	SPRED2	sprouty related EVH1 domain containing 2	protein-coding	involved_in	IEA	 2	65,307,175	65,432,599	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1604386	SSPOP	SCO-spondin, pseudogene	pseudo	involved_in	IEA	 7	149,776,042	149,833,965	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1312345	STYX	serine/threonine/tyrosine interacting protein	protein-coding	involved_in	IEA	14	52,730,166	52,774,989	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1605388	TAOK3	TAO kinase 3	protein-coding	involved_in	IEA	12	118,149,801	118,372,907	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1606266	TESC	tescalcin	protein-coding	involved_in	IEA	12	117,038,923	117,099,416	GOC, GOC	GOC	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1347215	TIMP1	TIMP metallopeptidase inhibitor 1	protein-coding	involved_in	IDA	  X	47,582,436	47,586,789	UniProt, UniProt	UniProt	PMID:3903517 	  (PMID:3903517)
Human	GO:0043086	negative regulation of catalytic activity	gene	1605964	TMBIM1	transmembrane BAX inhibitor motif containing 1	protein-coding	involved_in	ISS	 2	218,274,197	218,292,503	UniProt, UniProt	UniProt	 	
Human	GO:0043086	negative regulation of catalytic activity	gene	1346409	TNK2	tyrosine kinase non receptor 2	protein-coding	involved_in	IEA	 3	195,863,364	195,908,551	GOC, GOC	GOC	 	
